name,value,year,lastValue,rank,color
"VEEV",3.0,1946.0,1.0,93,"lightskyblue"
"Cowpox virus",3.0,1946.0,0.0,94,"lightskyblue"
"Balantidium coli",3.0,1946.0,2.0,95,"gold"
"Corynebacterium",3.0,1946.0,0.0,96,"salmon"
"Cystoisospora",3.0,1946.0,1.0,97,"gold"
"Listeria monocytogenes",3.0,1946.0,1.0,98,"salmon"
"Hymenolepis",2.0,1946.0,0.0,99,"orange"
"Geotrichum candidum",1.0,1946.0,0.0,100,"olivedrab"
"Nocardial",1.0,1946.0,0.0,101,"salmon"
"Toxocara",1.0,1946.0,0.0,102,"orange"
"Guinea worm",1.0,1946.0,0.0,103,"orange"
"Necator",1.0,1946.0,0.0,104,"orange"
"Theileria",1.0,1946.0,0.0,105,"gold"
"Setaria",1.0,1946.0,0.0,106,"orange"
"HHV",1.0,1946.0,0.0,107,"lightskyblue"
"LIV",1.0,1946.0,0.0,108,"lightskyblue"
"Poxvirus",1.0,1946.0,0.0,109,"lightskyblue"
"Trichuris trichiura",1.0,1946.0,0.0,110,"orange"
"Clonorchis",1.0,1946.0,0.0,111,"orange"
"Orf virus",1.0,1946.0,0.0,112,"lightskyblue"
"Eastern equine encephalitis virus",1.0,1946.0,0.0,113,"lightskyblue"
"Mycobacterium tuberculosis",1407.0,1947.0,778.0,1,"salmon"
"Plasmodium",1273.0,1947.0,842.0,2,"gold"
"Poliovirus",700.0,1947.0,284.0,3,"lightskyblue"
"Salmonella enterica",616.0,1947.0,336.0,4,"salmon"
"Treponema",481.0,1947.0,305.0,5,"salmon"
"Streptococcus pyogenes",429.0,1947.0,249.0,6,"salmon"
"Influenza virus",417.0,1947.0,248.0,7,"lightskyblue"
"Neisseria gonorrhoeae",373.0,1947.0,228.0,8,"salmon"
"Rickettsia",361.0,1947.0,229.0,9,"salmon"
"Mycobacterium leprae",345.0,1947.0,212.0,10,"salmon"
"HAV",328.0,1947.0,186.0,11,"lightskyblue"
"Clostridium",327.0,1947.0,183.0,12,"salmon"
"Brucella",269.0,1947.0,146.0,13,"salmon"
"Schistosoma",250.0,1947.0,151.0,14,"orange"
"Entamoeba histolytica",246.0,1947.0,144.0,15,"gold"
"Leishmania",246.0,1947.0,140.0,16,"gold"
"Chlamydia",194.0,1947.0,107.0,17,"salmon"
"Trypanosoma",154.0,1947.0,92.0,18,"gold"
"Echinococcus",138.0,1947.0,77.0,19,"orange"
"Shigella",124.0,1947.0,82.0,20,"salmon"
"Variola",119.0,1947.0,60.0,21,"lightskyblue"
"Vibrio cholerae",114.0,1947.0,58.0,22,"salmon"
"Filarial worms",113.0,1947.0,78.0,23,"orange"
"Actinomyces",107.0,1947.0,53.0,24,"olivedrab"
"Rabies virus",103.0,1947.0,56.0,25,"lightskyblue"
"Leptospira",101.0,1947.0,55.0,26,"salmon"
"Varicella Zoster virus",99.0,1947.0,65.0,27,"lightskyblue"
"Orientia tsutsugamushi",94.0,1947.0,73.0,28,"salmon"
"Borrelia",86.0,1947.0,62.0,29,"salmon"
"EBV",85.0,1947.0,53.0,30,"lightskyblue"
"Fusobacterium",83.0,1947.0,50.0,31,"salmon"
"Bacillus anthracis",80.0,1947.0,37.0,32,"salmon"
"Yersinia pestis",78.0,1947.0,45.0,33,"salmon"
"Measles virus",75.0,1947.0,33.0,34,"lightskyblue"
"Sarcoptes scabiei",75.0,1947.0,47.0,35,"blueviolet"
"Klebsiella",66.0,1947.0,32.0,36,"salmon"
"Trichomonas vaginalis",62.0,1947.0,30.0,37,"gold"
"YFV",62.0,1947.0,45.0,38,"lightskyblue"
"Ascaris",61.0,1947.0,31.0,39,"orange"
"Trichophyton",58.0,1947.0,33.0,40,"olivedrab"
"Rubella",56.0,1947.0,29.0,41,"lightskyblue"
"Blastomyces dermatitidis",56.0,1947.0,36.0,42,"olivedrab"
"Mumps virus",55.0,1947.0,35.0,43,"lightskyblue"
"Coccidia",50.0,1947.0,24.0,44,"gold"
"Coccidioides",49.0,1947.0,28.0,45,"olivedrab"
"Histoplasma capsulatum",46.0,1947.0,23.0,46,"olivedrab"
"Ancylostoma",45.0,1947.0,38.0,47,"orange"
"Erysipelothrix",44.0,1947.0,30.0,48,"salmon"
"Newcastle disease virus",42.0,1947.0,18.0,49,"lightskyblue"
"Fly larva",41.0,1947.0,20.0,50,"blueviolet"
"Trichinella",41.0,1947.0,16.0,51,"orange"
"Babesia",41.0,1947.0,23.0,52,"gold"
"Pediculus",40.0,1947.0,28.0,53,"blueviolet"
"Haemophilus ducreyi",37.0,1947.0,29.0,54,"salmon"
"Acari",36.0,1947.0,14.0,55,"blueviolet"
"Enterobius vermicularis",34.0,1947.0,19.0,56,"orange"
"HSV",34.0,1947.0,11.0,57,"lightskyblue"
"Coxiella burnetii",32.0,1947.0,14.0,58,"salmon"
"Candida",32.0,1947.0,19.0,59,"olivedrab"
"DENV",31.0,1947.0,25.0,60,"lightskyblue"
"Toxoplasma",31.0,1947.0,18.0,61,"gold"
"HIV",28.0,1947.0,16.0,62,"lightskyblue"
"Onchocerca",26.0,1947.0,16.0,63,"orange"
"Cryptococcus",26.0,1947.0,13.0,64,"olivedrab"
"Sporothrix",23.0,1947.0,12.0,65,"olivedrab"
"Japanese encephalitis virus",21.0,1947.0,10.0,66,"lightskyblue"
"HPV",20.0,1947.0,11.0,67,"lightskyblue"
"Taenia solium.",20.0,1947.0,16.0,68,"orange"
"Streptobacillus moniliformis or Spirillum minus",18.0,1947.0,11.0,69,"salmon"
"Giardia lamblia",18.0,1947.0,7.0,70,"gold"
"HBV",17.0,1947.0,5.0,71,"lightskyblue"
"Pasteurella",16.0,1947.0,5.0,72,"salmon"
"Trypanosoma cruzi",14.0,1947.0,7.0,73,"gold"
"Phlebovirus",14.0,1947.0,10.0,74,"lightskyblue"
"Actinomycetoma",14.0,1947.0,8.0,75,"salmon"
"WEEV",12.0,1947.0,8.0,76,"lightskyblue"
"Vaccinia virus",12.0,1947.0,10.0,77,"lightskyblue"
"Pinworms",11.0,1947.0,7.0,78,"orange"
"Burkholderia",11.0,1947.0,5.0,79,"salmon"
"Coltivirus",11.0,1947.0,4.0,80,"lightskyblue"
"Bartonella",11.0,1947.0,8.0,81,"salmon"
"Protozoan",10.0,1947.0,5.0,82,"gold"
"Eurotiomycetes",10.0,1947.0,7.0,83,"olivedrab"
"Staphylococcus aureus",10.0,1947.0,3.0,84,"salmon"
"Balantidium coli",9.0,1947.0,3.0,85,"gold"
"Corynebacterium",9.0,1947.0,3.0,86,"salmon"
"SLEV",9.0,1947.0,4.0,87,"lightskyblue"
"Listeria monocytogenes",9.0,1947.0,3.0,88,"salmon"
"Strongyloides",9.0,1947.0,8.0,89,"orange"
"Molluscum Contagiosum virus",8.0,1947.0,6.0,90,"lightskyblue"
"Aspergillus",8.0,1947.0,5.0,91,"olivedrab"
"HEV",8.0,1947.0,1.0,92,"lightskyblue"
"Tick",8.0,1947.0,6.0,93,"blueviolet"
"Paragonimus",7.0,1947.0,5.0,94,"orange"
"LCMV",7.0,1947.0,4.0,95,"lightskyblue"
"Theileria",6.0,1947.0,1.0,96,"gold"
"Rhinosporidium seeberi",6.0,1947.0,4.0,97,"olivedrab"
"VEEV",4.0,1947.0,3.0,98,"lightskyblue"
"Cowpox virus",4.0,1947.0,3.0,99,"lightskyblue"
"Gnathostoma",3.0,1947.0,1.0,100,"orange"
"Hymenolepis",3.0,1947.0,2.0,101,"orange"
"Trichostrongylus",3.0,1947.0,1.0,102,"orange"
"Paracoccidioides brasiliensis",3.0,1947.0,0.0,103,"olivedrab"
"LIV",3.0,1947.0,1.0,104,"lightskyblue"
"Orf virus",3.0,1947.0,1.0,105,"lightskyblue"
"Fasciola",3.0,1947.0,0.0,106,"orange"
"Anaplasmataceae",2.0,1947.0,0.0,107,"salmon"
"HHV",2.0,1947.0,1.0,108,"lightskyblue"
"Dirofilaria",2.0,1947.0,1.0,109,"orange"
"Trichuris trichiura",2.0,1947.0,1.0,110,"orange"
"Eastern equine encephalitis virus",2.0,1947.0,1.0,111,"lightskyblue"
"Poxvirus",2.0,1947.0,1.0,112,"lightskyblue"
"Bornavirus",1.0,1947.0,0.0,113,"lightskyblue"
"Enoplida",1.0,1947.0,0.0,114,"orange"
"Actinobacillus",1.0,1947.0,0.0,115,"salmon"
"HCV",1.0,1947.0,0.0,116,"lightskyblue"
"Loa loa",1.0,1947.0,0.0,117,"orange"
"Diphyllobothrium",1.0,1947.0,0.0,118,"orange"
"Cochliomyia",1.0,1947.0,0.0,119,"blueviolet"
"Ascaridia",1.0,1947.0,0.0,120,"orange"
"Mycobacterium tuberculosis",2085.0,1948.0,1407.0,1,"salmon"
"Plasmodium",1671.0,1948.0,1273.0,2,"gold"
"Poliovirus",1104.0,1948.0,700.0,3,"lightskyblue"
"Salmonella enterica",888.0,1948.0,616.0,4,"salmon"
"Treponema",653.0,1948.0,481.0,5,"salmon"
"Mycobacterium leprae",622.0,1948.0,345.0,6,"salmon"
"Influenza virus",616.0,1948.0,417.0,7,"lightskyblue"
"Streptococcus pyogenes",587.0,1948.0,429.0,8,"salmon"
"Neisseria gonorrhoeae",493.0,1948.0,373.0,9,"salmon"
"Rickettsia",484.0,1948.0,361.0,10,"salmon"
"HAV",463.0,1948.0,328.0,11,"lightskyblue"
"Clostridium",453.0,1948.0,327.0,12,"salmon"
"Brucella",399.0,1948.0,269.0,13,"salmon"
"Schistosoma",339.0,1948.0,250.0,14,"orange"
"Entamoeba histolytica",338.0,1948.0,246.0,15,"gold"
"Leishmania",330.0,1948.0,246.0,16,"gold"
"Chlamydia",270.0,1948.0,194.0,17,"salmon"
"Echinococcus",212.0,1948.0,138.0,18,"orange"
"Trypanosoma",193.0,1948.0,154.0,19,"gold"
"Vibrio cholerae",189.0,1948.0,114.0,20,"salmon"
"Variola",167.0,1948.0,119.0,21,"lightskyblue"
"Actinomyces",164.0,1948.0,107.0,22,"olivedrab"
"Varicella Zoster virus",163.0,1948.0,99.0,23,"lightskyblue"
"Leptospira",160.0,1948.0,101.0,24,"salmon"
"Shigella",159.0,1948.0,124.0,25,"salmon"
"Filarial worms",158.0,1948.0,113.0,26,"orange"
"EBV",147.0,1948.0,85.0,27,"lightskyblue"
"Rabies virus",146.0,1948.0,103.0,28,"lightskyblue"
"Measles virus",134.0,1948.0,75.0,29,"lightskyblue"
"Sarcoptes scabiei",115.0,1948.0,75.0,30,"blueviolet"
"Yersinia pestis",115.0,1948.0,78.0,31,"salmon"
"Ascaris",111.0,1948.0,61.0,32,"orange"
"Klebsiella",111.0,1948.0,66.0,33,"salmon"
"Orientia tsutsugamushi",108.0,1948.0,94.0,34,"salmon"
"Borrelia",107.0,1948.0,86.0,35,"salmon"
"Bacillus anthracis",100.0,1948.0,80.0,36,"salmon"
"Histoplasma capsulatum",93.0,1948.0,46.0,37,"olivedrab"
"Trichomonas vaginalis",93.0,1948.0,62.0,38,"gold"
"Fusobacterium",87.0,1948.0,83.0,39,"salmon"
"Mumps virus",84.0,1948.0,55.0,40,"lightskyblue"
"Rubella",82.0,1948.0,56.0,41,"lightskyblue"
"YFV",81.0,1948.0,62.0,42,"lightskyblue"
"Trichophyton",79.0,1948.0,58.0,43,"olivedrab"
"Blastomyces dermatitidis",78.0,1948.0,56.0,44,"olivedrab"
"Coccidioides",75.0,1948.0,49.0,45,"olivedrab"
"Toxoplasma",73.0,1948.0,31.0,46,"gold"
"Coxiella burnetii",73.0,1948.0,32.0,47,"salmon"
"Newcastle disease virus",64.0,1948.0,42.0,48,"lightskyblue"
"Coccidia",60.0,1948.0,50.0,49,"gold"
"Trichinella",59.0,1948.0,41.0,50,"orange"
"Ancylostoma",52.0,1948.0,45.0,51,"orange"
"Pediculus",50.0,1948.0,40.0,52,"blueviolet"
"Fly larva",49.0,1948.0,41.0,53,"blueviolet"
"Candida",49.0,1948.0,32.0,54,"olivedrab"
"Erysipelothrix",49.0,1948.0,44.0,55,"salmon"
"DENV",47.0,1948.0,31.0,56,"lightskyblue"
"HSV",46.0,1948.0,34.0,57,"lightskyblue"
"Haemophilus ducreyi",45.0,1948.0,37.0,58,"salmon"
"Acari",44.0,1948.0,36.0,59,"blueviolet"
"Enterobius vermicularis",43.0,1948.0,34.0,60,"orange"
"Babesia",42.0,1948.0,41.0,61,"gold"
"HIV",41.0,1948.0,28.0,62,"lightskyblue"
"Cryptococcus",39.0,1948.0,26.0,63,"olivedrab"
"Onchocerca",38.0,1948.0,26.0,64,"orange"
"HPV",36.0,1948.0,20.0,65,"lightskyblue"
"Vaccinia virus",31.0,1948.0,12.0,66,"lightskyblue"
"Taenia solium.",29.0,1948.0,20.0,67,"orange"
"Giardia lamblia",29.0,1948.0,18.0,68,"gold"
"Japanese encephalitis virus",28.0,1948.0,21.0,69,"lightskyblue"
"HBV",27.0,1948.0,17.0,70,"lightskyblue"
"Sporothrix",25.0,1948.0,23.0,71,"olivedrab"
"Streptobacillus moniliformis or Spirillum minus",24.0,1948.0,18.0,72,"salmon"
"Actinomycetoma",21.0,1948.0,14.0,73,"salmon"
"Trypanosoma cruzi",21.0,1948.0,14.0,74,"gold"
"Pasteurella",21.0,1948.0,16.0,75,"salmon"
"Pinworms",19.0,1948.0,11.0,76,"orange"
"Phlebovirus",19.0,1948.0,14.0,77,"lightskyblue"
"Bartonella",19.0,1948.0,11.0,78,"salmon"
"Burkholderia",17.0,1948.0,11.0,79,"salmon"
"WEEV",17.0,1948.0,12.0,80,"lightskyblue"
"LCMV",17.0,1948.0,7.0,81,"lightskyblue"
"Staphylococcus aureus",16.0,1948.0,10.0,82,"salmon"
"Protozoan",14.0,1948.0,10.0,83,"gold"
"Balantidium coli",13.0,1948.0,9.0,84,"gold"
"Eurotiomycetes",13.0,1948.0,10.0,85,"olivedrab"
"Aspergillus",12.0,1948.0,8.0,86,"olivedrab"
"Molluscum Contagiosum virus",12.0,1948.0,8.0,87,"lightskyblue"
"Coltivirus",12.0,1948.0,11.0,88,"lightskyblue"
"SLEV",12.0,1948.0,9.0,89,"lightskyblue"
"Strongyloides",12.0,1948.0,9.0,90,"orange"
"Fasciola",11.0,1948.0,3.0,91,"orange"
"Listeria monocytogenes",10.0,1948.0,9.0,92,"salmon"
"Rhinosporidium seeberi",10.0,1948.0,6.0,93,"olivedrab"
"Paracoccidioides brasiliensis",9.0,1948.0,3.0,94,"olivedrab"
"Tick",9.0,1948.0,8.0,95,"blueviolet"
"Paragonimus",8.0,1948.0,7.0,96,"orange"
"Theileria",7.0,1948.0,6.0,97,"gold"
"Cowpox virus",6.0,1948.0,4.0,98,"lightskyblue"
"Orf virus",5.0,1948.0,3.0,99,"lightskyblue"
"LIV",4.0,1948.0,3.0,100,"lightskyblue"
"Cystoisospora",4.0,1948.0,3.0,101,"gold"
"Poxvirus",3.0,1948.0,2.0,102,"lightskyblue"
"Eastern equine encephalitis virus",3.0,1948.0,2.0,103,"lightskyblue"
"Trichuris trichiura",3.0,1948.0,2.0,104,"orange"
"Nocardial",3.0,1948.0,1.0,105,"salmon"
"Dirofilaria",3.0,1948.0,2.0,106,"orange"
"Trombiculidae",2.0,1948.0,0.0,107,"blueviolet"
"Guinea worm",2.0,1948.0,1.0,108,"orange"
"Loa loa",2.0,1948.0,1.0,109,"orange"
